rule	source	line	shadowed_by	shadow_source
DOMAIN-SUFFIX,oneclient.sfx.ms	https://raw.githubusercontent.com/blackmatrix7/ios_rule_script/master/rule/Clash/OneDrive/OneDrive.list	12	DOMAIN-SUFFIX,sfx.ms	https://raw.githubusercontent.com/blackmatrix7/ios_rule_script/master/rule/Clash/Microsoft/Microsoft.list
DOMAIN-SUFFIX,onedrive.live.com	https://raw.githubusercontent.com/blackmatrix7/ios_rule_script/master/rule/Clash/OneDrive/OneDrive.list	14	DOMAIN-SUFFIX,live.com	https://raw.githubusercontent.com/blackmatrix7/ios_rule_script/master/rule/Clash/Microsoft/Microsoft.list
DOMAIN-SUFFIX,photos.live.com	https://raw.githubusercontent.com/blackmatrix7/ios_rule_script/master/rule/Clash/OneDrive/OneDrive.list	15	DOMAIN-SUFFIX,live.com	https://raw.githubusercontent.com/blackmatrix7/ios_rule_script/master/rule/Clash/Microsoft/Microsoft.list
DOMAIN-SUFFIX,skydrive.wns.windows.com	https://raw.githubusercontent.com/blackmatrix7/ios_rule_script/master/rule/Clash/OneDrive/OneDrive.list	18	DOMAIN-SUFFIX,windows.com	https://raw.githubusercontent.com/blackmatrix7/ios_rule_script/master/rule/Clash/Microsoft/Microsoft.list
DOMAIN-SUFFIX,storage.live.com	https://raw.githubusercontent.com/blackmatrix7/ios_rule_script/master/rule/Clash/OneDrive/OneDrive.list	20	DOMAIN-SUFFIX,live.com	https://raw.githubusercontent.com/blackmatrix7/ios_rule_script/master/rule/Clash/Microsoft/Microsoft.list
DOMAIN-SUFFIX,storage.msn.com	https://raw.githubusercontent.com/blackmatrix7/ios_rule_script/master/rule/Clash/OneDrive/OneDrive.list	21	DOMAIN-SUFFIX,msn.com	https://raw.githubusercontent.com/blackmatrix7/ios_rule_script/master/rule/Clash/Microsoft/Microsoft.list
